N(P,t) Data:

N(P,6) Data for P on 6 vertices:
N([1, 1, 1, 1], 6) = 1295
N([2, 3, 6, 1], 7) = 16665
> Progress: 100% [16807 / 16807]
N([2, 3, 6, 2], 7) = 16644
> Progress: 100% [16807 / 16807]
N([2, 3, 6, 3], 7) = 16637
> Progress: 100% [16807 / 16807]
N([2, 3, 6, 4], 7) = 16659
N([2, 3, 6, 5], 7) = 16661
N([2, 3, 6, 6], 7) = 16673
> Progress: 100% [16807 / 16807]
N([2, 4, 1, 1], 7) = 16664
> Progress: 100% [16807 / 16807]
N([2, 4, 1, 2], 7) = 16642
> Progress: 100% [16807 / 16807]
N([2, 4, 1, 3], 7) = 16657
> Progress: 100% [16807 / 16807]
N([2, 4, 1, 4], 7) = 16633
> Progress: 100% [16807 / 16807]
N([2, 4, 1, 5], 7) = 16661
N([2, 4, 1, 6], 7) = 16666
> Progress: 100% [16807 / 16807]
N([2, 4, 2, 1], 7) = 16643
> Progress: 100% [16807 / 16807]
N([2, 4, 2, 2], 7) = 16588
> Progress: 100% [16807 / 16807]
N([2, 4, 2, 3], 7) = 16641
> Progress: 100% [16807 / 16807]
N([2, 4, 2, 4], 7) = 16612
> Progress: 100% [16807 / 16807]
N([2, 4, 2, 5], 7) = 16639
N([2, 4, 2, 6], 7) = 16643
> Progress: 100% [16807 / 16807]
N([2, 4, 3, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([2, 4, 3, 2], 7) = 16633
> Progress: 100% [16807 / 16807]
N([2, 4, 3, 3], 7) = 16635
> Progress: 100% [16807 / 16807]
N([2, 4, 3, 4], 7) = 16626
> Progress: 100% [16807 / 16807]
N([2, 4, 3, 5], 7) = 16652
N([2, 4, 3, 6], 7) = 16656
> Progress: 100% [16807 / 16807]
N([2, 4, 4, 1], 7) = 16635
> Progress: 100% [16807 / 16807]
N([2, 4, 4, 2], 7) = 16612
> Progress: 100% [16807 / 16807]
N([2, 4, 4, 3], 7) = 16628
> Progress: 100% [16807 / 16807]
N([2, 4, 4, 4], 7) = 16568
N([2, 4, 4, 5], 7) = 16631
N([2, 4, 4, 6], 7) = 16635
> Progress: 100% [16807 / 16807]
N([2, 4, 5, 1], 7) = 16657
> Progress: 100% [16807 / 16807]
N([2, 4, 5, 2], 7) = 16636
> Progress: 100% [16807 / 16807]
N([2, 4, 5, 3], 7) = 16650
> Progress: 100% [16807 / 16807]
N([2, 4, 5, 4], 7) = 16629
N([2, 4, 5, 5], 7) = 16638
N([2, 4, 5, 6], 7) = 16660
> Progress: 100% [16807 / 16807]
N([2, 4, 6, 1], 7) = 16665
> Progress: 100% [16807 / 16807]
N([2, 4, 6, 2], 7) = 16644
> Progress: 100% [16807 / 16807]
N([2, 4, 6, 3], 7) = 16658
> Progress: 100% [16807 / 16807]
N([2, 4, 6, 4], 7) = 16638
N([2, 4, 6, 5], 7) = 16661
N([2, 4, 6, 6], 7) = 16657
> Progress: 100% [16807 / 16807]
N([2, 5, 1, 1], 7) = 16658
> Progress: 100% [16807 / 16807]
N([2, 5, 1, 2], 7) = 16644
> Progress: 100% [16807 / 16807]
N([2, 5, 1, 3], 7) = 16659
> Progress: 100% [16807 / 16807]
N([2, 5, 1, 4], 7) = 16660
> Progress: 100% [16807 / 16807]
N([2, 5, 1, 5], 7) = 16651
N([2, 5, 1, 6], 7) = 16670
> Progress: 100% [16807 / 16807]
N([2, 5, 2, 1], 7) = 16645
> Progress: 100% [16807 / 16807]
N([2, 5, 2, 2], 7) = 16583
> Progress: 100% [16807 / 16807]
N([2, 5, 2, 3], 7) = 16636
> Progress: 100% [16807 / 16807]
N([2, 5, 2, 4], 7) = 16637
> Progress: 100% [16807 / 16807]
N([2, 5, 2, 5], 7) = 16624
N([2, 5, 2, 6], 7) = 16648
> Progress: 100% [16807 / 16807]
N([2, 5, 3, 1], 7) = 16657
> Progress: 100% [16807 / 16807]
N([2, 5, 3, 2], 7) = 16635
> Progress: 100% [16807 / 16807]
N([2, 5, 3, 3], 7) = 16629
> Progress: 100% [16807 / 16807]
N([2, 5, 3, 4], 7) = 16651
N([2, 5, 3, 5], 7) = 16639
N([2, 5, 3, 6], 7) = 16660
> Progress: 100% [16807 / 16807]
N([2, 5, 4, 1], 7) = 16657
> Progress: 100% [16807 / 16807]
N([2, 5, 4, 2], 7) = 16635
> Progress: 100% [16807 / 16807]
N([2, 5, 4, 3], 7) = 16650
> Progress: 100% [16807 / 16807]
N([2, 5, 4, 4], 7) = 16630
N([2, 5, 4, 5], 7) = 16639
N([2, 5, 4, 6], 7) = 16660
> Progress: 100% [16807 / 16807]
N([2, 5, 5, 1], 7) = 16645
> Progress: 100% [16807 / 16807]
N([2, 5, 5, 2], 7) = 16639
> Progress: 100% [16807 / 16807]
N([2, 5, 5, 3], 7) = 16638
> Progress: 100% [16807 / 16807]
N([2, 5, 5, 4], 7) = 16637
N([2, 5, 5, 5], 7) = 16602
N([2, 5, 5, 6], 7) = 16646
> Progress: 100% [16807 / 16807]
N([2, 5, 6, 1], 7) = 16669
> Progress: 100% [16807 / 16807]
N([2, 5, 6, 2], 7) = 16648
> Progress: 100% [16807 / 16807]
N([2, 5, 6, 3], 7) = 16660
> Progress: 100% [16807 / 16807]
N([2, 5, 6, 4], 7) = 16660
N([2, 5, 6, 5], 7) = 16648
N([2, 5, 6, 6], 7) = 16679
> Progress: 100% [16807 / 16807]
N([2, 6, 1, 1], 7) = 16682
> Progress: 100% [16807 / 16807]
N([2, 6, 1, 2], 7) = 16652
> Progress: 100% [16807 / 16807]
N([2, 6, 1, 3], 7) = 16667
> Progress: 100% [16807 / 16807]
N([2, 6, 1, 4], 7) = 16665
> Progress: 100% [16807 / 16807]
N([2, 6, 1, 5], 7) = 16670
N([2, 6, 1, 6], 7) = 16665
> Progress: 100% [16807 / 16807]
N([2, 6, 2, 1], 7) = 16651
> Progress: 100% [16807 / 16807]
N([2, 6, 2, 2], 7) = 16606
> Progress: 100% [16807 / 16807]
N([2, 6, 2, 3], 7) = 16642
> Progress: 100% [16807 / 16807]
N([2, 6, 2, 4], 7) = 16642
N([2, 6, 2, 5], 7) = 16651
N([2, 6, 2, 6], 7) = 16643
> Progress: 100% [16807 / 16807]
N([2, 6, 3, 1], 7) = 16669
> Progress: 100% [16807 / 16807]
N([2, 6, 3, 2], 7) = 16643
> Progress: 100% [16807 / 16807]
N([2, 6, 3, 3], 7) = 16653
> Progress: 100% [16807 / 16807]
N([2, 6, 3, 4], 7) = 16658
N([2, 6, 3, 5], 7) = 16661
N([2, 6, 3, 6], 7) = 16659
> Progress: 100% [16807 / 16807]
N([2, 6, 4, 1], 7) = 16668
> Progress: 100% [16807 / 16807]
N([2, 6, 4, 2], 7) = 16644
> Progress: 100% [16807 / 16807]
N([2, 6, 4, 3], 7) = 16659
> Progress: 100% [16807 / 16807]
N([2, 6, 4, 4], 7) = 16638
N([2, 6, 4, 5], 7) = 16661
N([2, 6, 4, 6], 7) = 16659
> Progress: 100% [16807 / 16807]
N([2, 6, 5, 1], 7) = 16670
> Progress: 100% [16807 / 16807]
N([2, 6, 5, 2], 7) = 16651
> Progress: 100% [16807 / 16807]
N([2, 6, 5, 3], 7) = 16661
> Progress: 100% [16807 / 16807]
N([2, 6, 5, 4], 7) = 16661
N([2, 6, 5, 5], 7) = 16665
N([2, 6, 5, 6], 7) = 16664
> Progress: 100% [16807 / 16807]
N([2, 6, 6, 1], 7) = 16668
> Progress: 100% [16807 / 16807]
N([2, 6, 6, 2], 7) = 16661
> Progress: 100% [16807 / 16807]
N([2, 6, 6, 3], 7) = 16661
> Progress: 100% [16807 / 16807]
N([2, 6, 6, 4], 7) = 16660
N([2, 6, 6, 5], 7) = 16662
N([2, 6, 6, 6], 7) = 16668
> Progress: 100% [16807 / 16807]
N([3, 1, 1, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 1, 1, 2], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 1, 1, 3], 7) = 16647
> Progress: 100% [16807 / 16807]
N([3, 1, 1, 4], 7) = 16657
N([3, 1, 1, 5], 7) = 16660
N([3, 1, 1, 6], 7) = 16664
> Progress: 100% [16807 / 16807]
N([3, 1, 2, 1], 7) = 16662
> Progress: 100% [16807 / 16807]
N([3, 1, 2, 2], 7) = 16651
> Progress: 100% [16807 / 16807]
N([3, 1, 2, 3], 7) = 16633
> Progress: 100% [16807 / 16807]
N([3, 1, 2, 4], 7) = 16659
N([3, 1, 2, 5], 7) = 16660
N([3, 1, 2, 6], 7) = 16664
> Progress: 100% [16807 / 16807]
N([3, 1, 3, 1], 7) = 16631
> Progress: 100% [16807 / 16807]
N([3, 1, 3, 2], 7) = 16640
> Progress: 100% [16807 / 16807]
N([3, 1, 3, 3], 7) = 16573
> Progress: 100% [16807 / 16807]
N([3, 1, 3, 4], 7) = 16633
N([3, 1, 3, 5], 7) = 16638
N([3, 1, 3, 6], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 1, 4, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 1, 4, 2], 7) = 16657
> Progress: 100% [16807 / 16807]
N([3, 1, 4, 3], 7) = 16630
> Progress: 100% [16807 / 16807]
N([3, 1, 4, 4], 7) = 16644
N([3, 1, 4, 5], 7) = 16659
N([3, 1, 4, 6], 7) = 16663
> Progress: 100% [16807 / 16807]
N([3, 1, 5, 1], 7) = 16657
> Progress: 100% [16807 / 16807]
N([3, 1, 5, 2], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 1, 5, 3], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 1, 5, 4], 7) = 16658
N([3, 1, 5, 5], 7) = 16645
N([3, 1, 5, 6], 7) = 16667
> Progress: 100% [16807 / 16807]
N([3, 1, 6, 1], 7) = 16666
> Progress: 100% [16807 / 16807]
N([3, 1, 6, 2], 7) = 16667
> Progress: 100% [16807 / 16807]
N([3, 1, 6, 3], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 1, 6, 4], 7) = 16666
N([3, 1, 6, 5], 7) = 16668
N([3, 1, 6, 6], 7) = 16680
> Progress: 100% [16807 / 16807]
N([3, 2, 1, 1], 7) = 16665
> Progress: 100% [16807 / 16807]
N([3, 2, 1, 2], 7) = 16640
> Progress: 100% [16807 / 16807]
N([3, 2, 1, 3], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 2, 1, 4], 7) = 16657
N([3, 2, 1, 5], 7) = 16661
N([3, 2, 1, 6], 7) = 16665
> Progress: 100% [16807 / 16807]
N([3, 2, 2, 1], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 2, 2, 2], 7) = 16602
> Progress: 100% [16807 / 16807]
N([3, 2, 2, 3], 7) = 16625
> Progress: 100% [16807 / 16807]
N([3, 2, 2, 4], 7) = 16634
N([3, 2, 2, 5], 7) = 16637
N([3, 2, 2, 6], 7) = 16641
> Progress: 100% [16807 / 16807]
N([3, 2, 3, 1], 7) = 16639
> Progress: 100% [16807 / 16807]
N([3, 2, 3, 2], 7) = 16609
> Progress: 100% [16807 / 16807]
N([3, 2, 3, 3], 7) = 16564
> Progress: 100% [16807 / 16807]
N([3, 2, 3, 4], 7) = 16624
N([3, 2, 3, 5], 7) = 16629
N([3, 2, 3, 6], 7) = 16633
> Progress: 100% [16807 / 16807]
N([3, 2, 4, 1], 7) = 16656
> Progress: 100% [16807 / 16807]
N([3, 2, 4, 2], 7) = 16632
> Progress: 100% [16807 / 16807]
N([3, 2, 4, 3], 7) = 16623
> Progress: 100% [16807 / 16807]
N([3, 2, 4, 4], 7) = 16636
N([3, 2, 4, 5], 7) = 16651
N([3, 2, 4, 6], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 2, 5, 1], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 2, 5, 2], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 2, 5, 3], 7) = 16627
> Progress: 100% [16807 / 16807]
N([3, 2, 5, 4], 7) = 16650
N([3, 2, 5, 5], 7) = 16637
N([3, 2, 5, 6], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 2, 6, 1], 7) = 16666
> Progress: 100% [16807 / 16807]
N([3, 2, 6, 2], 7) = 16643
> Progress: 100% [16807 / 16807]
N([3, 2, 6, 3], 7) = 16635
N([3, 2, 6, 4], 7) = 16658
N([3, 2, 6, 5], 7) = 16660
N([3, 2, 6, 6], 7) = 16672
> Progress: 100% [16807 / 16807]
N([3, 3, 1, 1], 7) = 16641
> Progress: 100% [16807 / 16807]
N([3, 3, 1, 2], 7) = 16650
> Progress: 100% [16807 / 16807]
N([3, 3, 1, 3], 7) = 16565
> Progress: 100% [16807 / 16807]
N([3, 3, 1, 4], 7) = 16633
N([3, 3, 1, 5], 7) = 16638
N([3, 3, 1, 6], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 3, 2, 1], 7) = 16649
> Progress: 100% [16807 / 16807]
N([3, 3, 2, 2], 7) = 16619
> Progress: 100% [16807 / 16807]
N([3, 3, 2, 3], 7) = 16556
> Progress: 100% [16807 / 16807]
N([3, 3, 2, 4], 7) = 16625
N([3, 3, 2, 5], 7) = 16630
N([3, 3, 2, 6], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 3, 3, 1], 7) = 16581
> Progress: 100% [16807 / 16807]
N([3, 3, 3, 2], 7) = 16572
> Progress: 100% [16807 / 16807]
N([3, 3, 3, 3], 7) = 16423
> Progress: 100% [16807 / 16807]
N([3, 3, 3, 4], 7) = 16565
N([3, 3, 3, 5], 7) = 16568
N([3, 3, 3, 6], 7) = 16572
> Progress: 100% [16807 / 16807]
N([3, 3, 4, 1], 7) = 16630
> Progress: 100% [16807 / 16807]
N([3, 3, 4, 2], 7) = 16623
> Progress: 100% [16807 / 16807]
N([3, 3, 4, 3], 7) = 16563
> Progress: 100% [16807 / 16807]
N([3, 3, 4, 4], 7) = 16622
N([3, 3, 4, 5], 7) = 16637
N([3, 3, 4, 6], 7) = 16641
> Progress: 100% [16807 / 16807]
N([3, 3, 5, 1], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 3, 5, 2], 7) = 16627
> Progress: 100% [16807 / 16807]
N([3, 3, 5, 3], 7) = 16565
N([3, 3, 5, 4], 7) = 16636
N([3, 3, 5, 5], 7) = 16623
N([3, 3, 5, 6], 7) = 16645
> Progress: 100% [16807 / 16807]
N([3, 3, 6, 1], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 3, 6, 2], 7) = 16635
> Progress: 100% [16807 / 16807]
N([3, 3, 6, 3], 7) = 16574
N([3, 3, 6, 4], 7) = 16644
N([3, 3, 6, 5], 7) = 16646
N([3, 3, 6, 6], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 4, 1, 1], 7) = 16662
> Progress: 100% [16807 / 16807]
N([3, 4, 1, 2], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 4, 1, 3], 7) = 16633
> Progress: 100% [16807 / 16807]
N([3, 4, 1, 4], 7) = 16631
N([3, 4, 1, 5], 7) = 16658
N([3, 4, 1, 6], 7) = 16662
> Progress: 100% [16807 / 16807]
N([3, 4, 2, 1], 7) = 16654
> Progress: 100% [16807 / 16807]
N([3, 4, 2, 2], 7) = 16640
> Progress: 100% [16807 / 16807]
N([3, 4, 2, 3], 7) = 16625
> Progress: 100% [16807 / 16807]
N([3, 4, 2, 4], 7) = 16624
N([3, 4, 2, 5], 7) = 16651
N([3, 4, 2, 6], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 4, 3, 1], 7) = 16633
> Progress: 100% [16807 / 16807]
N([3, 4, 3, 2], 7) = 16624
> Progress: 100% [16807 / 16807]
N([3, 4, 3, 3], 7) = 16561
> Progress: 100% [16807 / 16807]
N([3, 4, 3, 4], 7) = 16600
N([3, 4, 3, 5], 7) = 16626
N([3, 4, 3, 6], 7) = 16630
> Progress: 100% [16807 / 16807]
N([3, 4, 4, 1], 7) = 16633
> Progress: 100% [16807 / 16807]
N([3, 4, 4, 2], 7) = 16626
> Progress: 100% [16807 / 16807]
N([3, 4, 4, 3], 7) = 16600
N([3, 4, 4, 4], 7) = 16565
N([3, 4, 4, 5], 7) = 16628
N([3, 4, 4, 6], 7) = 16632
> Progress: 100% [16807 / 16807]
N([3, 4, 5, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 4, 5, 2], 7) = 16648
> Progress: 100% [16807 / 16807]
N([3, 4, 5, 3], 7) = 16624
N([3, 4, 5, 4], 7) = 16624
N([3, 4, 5, 5], 7) = 16633
N([3, 4, 5, 6], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 4, 6, 1], 7) = 16663
> Progress: 100% [16807 / 16807]
N([3, 4, 6, 2], 7) = 16656
> Progress: 100% [16807 / 16807]
N([3, 4, 6, 3], 7) = 16632
N([3, 4, 6, 4], 7) = 16633
N([3, 4, 6, 5], 7) = 16656
N([3, 4, 6, 6], 7) = 16652
> Progress: 100% [16807 / 16807]
N([3, 5, 1, 1], 7) = 16656
> Progress: 100% [16807 / 16807]
N([3, 5, 1, 2], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 5, 1, 3], 7) = 16635
> Progress: 100% [16807 / 16807]
N([3, 5, 1, 4], 7) = 16658
N([3, 5, 1, 5], 7) = 16642
N([3, 5, 1, 6], 7) = 16665
> Progress: 100% [16807 / 16807]
N([3, 5, 2, 1], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 5, 2, 2], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 5, 2, 3], 7) = 16627
> Progress: 100% [16807 / 16807]
N([3, 5, 2, 4], 7) = 16650
N([3, 5, 2, 5], 7) = 16637
N([3, 5, 2, 6], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 5, 3, 1], 7) = 16635
> Progress: 100% [16807 / 16807]
N([3, 5, 3, 2], 7) = 16626
> Progress: 100% [16807 / 16807]
N([3, 5, 3, 3], 7) = 16556
N([3, 5, 3, 4], 7) = 16624
N([3, 5, 3, 5], 7) = 16612
N([3, 5, 3, 6], 7) = 16633
> Progress: 100% [16807 / 16807]
N([3, 5, 4, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 5, 4, 2], 7) = 16648
> Progress: 100% [16807 / 16807]
N([3, 5, 4, 3], 7) = 16623
N([3, 5, 4, 4], 7) = 16625
N([3, 5, 4, 5], 7) = 16638
N([3, 5, 4, 6], 7) = 16655
> Progress: 100% [16807 / 16807]
N([3, 5, 5, 1], 7) = 16643
> Progress: 100% [16807 / 16807]
N([3, 5, 5, 2], 7) = 16636
> Progress: 100% [16807 / 16807]
N([3, 5, 5, 3], 7) = 16609
N([3, 5, 5, 4], 7) = 16634
N([3, 5, 5, 5], 7) = 16581
N([3, 5, 5, 6], 7) = 16643
> Progress: 100% [16807 / 16807]
N([3, 5, 6, 1], 7) = 16667
> Progress: 100% [16807 / 16807]
N([3, 5, 6, 2], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 5, 6, 3], 7) = 16633
N([3, 5, 6, 4], 7) = 16659
N([3, 5, 6, 5], 7) = 16643
N([3, 5, 6, 6], 7) = 16656
> Progress: 100% [16807 / 16807]
N([3, 6, 1, 1], 7) = 16680
> Progress: 100% [16807 / 16807]
N([3, 6, 1, 2], 7) = 16666
> Progress: 100% [16807 / 16807]
N([3, 6, 1, 3], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 6, 1, 4], 7) = 16663
N([3, 6, 1, 5], 7) = 16665
N([3, 6, 1, 6], 7) = 16661
> Progress: 100% [16807 / 16807]
N([3, 6, 2, 1], 7) = 16667
> Progress: 100% [16807 / 16807]
N([3, 6, 2, 2], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 6, 2, 3], 7) = 16633
N([3, 6, 2, 4], 7) = 16658
N([3, 6, 2, 5], 7) = 16660
N([3, 6, 2, 6], 7) = 16657
> Progress: 100% [16807 / 16807]
N([3, 6, 3, 1], 7) = 16642
> Progress: 100% [16807 / 16807]
N([3, 6, 3, 2], 7) = 16634
> Progress: 100% [16807 / 16807]
N([3, 6, 3, 3], 7) = 16579
N([3, 6, 3, 4], 7) = 16631
N([3, 6, 3, 5], 7) = 16633
N([3, 6, 3, 6], 7) = 16631
> Progress: 100% [16807 / 16807]
N([3, 6, 4, 1], 7) = 16666
> Progress: 100% [16807 / 16807]
N([3, 6, 4, 2], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 6, 4, 3], 7) = 16631
N([3, 6, 4, 4], 7) = 16633
N([3, 6, 4, 5], 7) = 16658
N([3, 6, 4, 6], 7) = 16658
> Progress: 100% [16807 / 16807]
N([3, 6, 5, 1], 7) = 16668
> Progress: 100% [16807 / 16807]
N([3, 6, 5, 2], 7) = 16660
> Progress: 100% [16807 / 16807]
N([3, 6, 5, 3], 7) = 16633
N([3, 6, 5, 4], 7) = 16657
N([3, 6, 5, 5], 7) = 16642
N([3, 6, 5, 6], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 6, 6, 1], 7) = 16666
> Progress: 100% [16807 / 16807]
N([3, 6, 6, 2], 7) = 16659
> Progress: 100% [16807 / 16807]
N([3, 6, 6, 3], 7) = 16631
N([3, 6, 6, 4], 7) = 16657
N([3, 6, 6, 5], 7) = 16659
N([3, 6, 6, 6], 7) = 16647
> Progress: 100% [16807 / 16807]
N([4, 1, 1, 1], 7) = 16640
> Progress: 100% [16807 / 16807]
N([4, 1, 1, 2], 7) = 16658
> Progress: 100% [16807 / 16807]
N([4, 1, 1, 3], 7) = 16655
N([4, 1, 1, 4], 7) = 16631
N([4, 1, 1, 5], 7) = 16661
N([4, 1, 1, 6], 7) = 16665
> Progress: 100% [16807 / 16807]
N([4, 1, 2, 1], 7) = 16656
> Progress: 100% [16807 / 16807]
N([4, 1, 2, 2], 7) = 16651
> Progress: 100% [16807 / 16807]
N([4, 1, 2, 3], 7) = 16658
N([4, 1, 2, 4], 7) = 16633
N([4, 1, 2, 5], 7) = 16660
N([4, 1, 2, 6], 7) = 16664
> Progress: 100% [16807 / 16807]
N([4, 1, 3, 1], 7) = 16653
> Progress: 100% [16807 / 16807]
N([4, 1, 3, 2], 7) = 16656
> Progress: 100% [16807 / 16807]
N([4, 1, 3, 3], 7) = 16641
N([4, 1, 3, 4], 7) = 16632
N([4, 1, 3, 5], 7) = 16658
N([4, 1, 3, 6], 7) = 16662
> Progress: 100% [16807 / 16807]
N([4, 1, 4, 1], 7) = 16631
> Progress: 100% [16807 / 16807]
N([4, 1, 4, 2], 7) = 16640
> Progress: 100% [16807 / 16807]
N([4, 1, 4, 3], 7) = 16631
N([4, 1, 4, 4], 7) = 16574
N([4, 1, 4, 5], 7) = 16637
N([4, 1, 4, 6], 7) = 16641
> Progress: 100% [16807 / 16807]
N([4, 1, 5, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([4, 1, 5, 2], 7) = 16659
> Progress: 100% [16807 / 16807]
N([4, 1, 5, 3], 7) = 16656
N([4, 1, 5, 4], 7) = 16635
N([4, 1, 5, 5], 7) = 16644
N([4, 1, 5, 6], 7) = 16666
> Progress: 100% [16807 / 16807]
N([4, 1, 6, 1], 7) = 16663
> Progress: 100% [16807 / 16807]
N([4, 1, 6, 2], 7) = 16667
> Progress: 100% [16807 / 16807]
N([4, 1, 6, 3], 7) = 16664
N([4, 1, 6, 4], 7) = 16642
N([4, 1, 6, 5], 7) = 16667
N([4, 1, 6, 6], 7) = 16663
> Progress: 100% [16807 / 16807]
N([4, 2, 1, 1], 7) = 16665
> Progress: 100% [16807 / 16807]
N([4, 2, 1, 2], 7) = 16640
> Progress: 100% [16807 / 16807]
N([4, 2, 1, 3], 7) = 16657
N([4, 2, 1, 4], 7) = 16633
N([4, 2, 1, 5], 7) = 16661
N([4, 2, 1, 6], 7) = 16665
> Progress: 100% [16807 / 16807]
N([4, 2, 2, 1], 7) = 16642
> Progress: 100% [16807 / 16807]
N([4, 2, 2, 2], 7) = 16587
> Progress: 100% [16807 / 16807]
N([4, 2, 2, 3], 7) = 16632
N([4, 2, 2, 4], 7) = 16609
N([4, 2, 2, 5], 7) = 16638
N([4, 2, 2, 6], 7) = 16642
> Progress: 100% [16807 / 16807]
N([4, 2, 3, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([4, 2, 3, 2], 7) = 16630
> Progress: 100% [16807 / 16807]
N([4, 2, 3, 3], 7) = 16633
N([4, 2, 3, 4], 7) = 16624
N([4, 2, 3, 5], 7) = 16650
N([4, 2, 3, 6], 7) = 16654
> Progress: 100% [16807 / 16807]
N([4, 2, 4, 1], 7) = 16639
> Progress: 100% [16807 / 16807]
N([4, 2, 4, 2], 7) = 16609
> Progress: 100% [16807 / 16807]
N([4, 2, 4, 3], 7) = 16626
N([4, 2, 4, 4], 7) = 16565
N([4, 2, 4, 5], 7) = 16628
N([4, 2, 4, 6], 7) = 16632
> Progress: 100% [16807 / 16807]
N([4, 2, 5, 1], 7) = 16658
> Progress: 100% [16807 / 16807]
N([4, 2, 5, 2], 7) = 16633
> Progress: 100% [16807 / 16807]
N([4, 2, 5, 3], 7) = 16648
N([4, 2, 5, 4], 7) = 16627
N([4, 2, 5, 5], 7) = 16636
N([4, 2, 5, 6], 7) = 16658
> Progress: 100% [16807 / 16807]
N([4, 2, 6, 1], 7) = 16666
> Progress: 100% [16807 / 16807]
N([4, 2, 6, 2], 7) = 16641
N([4, 2, 6, 3], 7) = 16656
N([4, 2, 6, 4], 7) = 16634
N([4, 2, 6, 5], 7) = 16659
N([4, 2, 6, 6], 7) = 16655
> Progress: 100% [16807 / 16807]
N([4, 3, 1, 1], 7) = 16661
> Progress: 100% [16807 / 16807]
N([4, 3, 1, 2], 7) = 16656
> Progress: 100% [16807 / 16807]
N([4, 3, 1, 3], 7) = 16629
N([4, 3, 1, 4], 7) = 16631
N([4, 3, 1, 5], 7) = 16659
N([4, 3, 1, 6], 7) = 16663
> Progress: 100% [16807 / 16807]
N([4, 3, 2, 1], 7) = 16655
> Progress: 100% [16807 / 16807]
N([4, 3, 2, 2], 7) = 16639
> Progress: 100% [16807 / 16807]
N([4, 3, 2, 3], 7) = 16622
N([4, 3, 2, 4], 7) = 16623
N([4, 3, 2, 5], 7) = 16650
N([4, 3, 2, 6], 7) = 16654
> Progress: 100% [16807 / 16807]
N([4, 3, 3, 1], 7) = 16631
> Progress: 100% [16807 / 16807]
N([4, 3, 3, 2], 7) = 16624
> Progress: 100% [16807 / 16807]
N([4, 3, 3, 3], 7) = 16563
N([4, 3, 3, 4], 7) = 16600
N([4, 3, 3, 5], 7) = 16628
N([4, 3, 3, 6], 7) = 16632
> Progress: 100% [16807 / 16807]
N([4, 3, 4, 1], 7) = 16631
> Progress: 100% [16807 / 16807]
N([4, 3, 4, 2], 7) = 16627
> Progress: 100% [16807 / 16807]
N([4, 3, 4, 3], 7) = 16600
N([4, 3, 4, 4], 7) = 16563
N([4, 3, 4, 5], 7) = 16626
N([4, 3, 4, 6], 7) = 16630
> Progress: 100% [16807 / 16807]
N([4, 3, 5, 1], 7) = 16654
> Progress: 100% [16807 / 16807]
N([4, 3, 5, 2], 7) = 16647
N([4, 3, 5, 3], 7) = 16626
N([4, 3, 5, 4], 7) = 16623
N([4, 3, 5, 5], 7) = 16632
N([4, 3, 5, 6], 7) = 16654
> Progress: 100% [16807 / 16807]
N([4, 3, 6, 1], 7) = 16662
> Progress: 100% [16807 / 16807]
N([4, 3, 6, 2], 7) = 16655
N([4, 3, 6, 3], 7) = 16631
N([4, 3, 6, 4], 7) = 16630
N([4, 3, 6, 5], 7) = 16655
N([4, 3, 6, 6], 7) = 16651
> Progress: 100% [16807 / 16807]
N([4, 4, 1, 1], 7) = 16656
